tags_id,article_id
759,2350
702,2350
290,2350
912,2350
955,2350
922,2350
355,2350
817,2350
173,2350
117,2350
191,2350
809,2350
434,2350
98,2350
920,2350
975,2350
216,2350
622,2350
786,2350
346,2350
500,2350
679,2350
381,2350
657,2350
429,2350
88,2350
375,2350
656,29669
825,29669
14,29669
549,29669
195,29669
41,29669
944,29669
446,29669
675,29669
976,29669
838,29669
562,29669
674,29669
647,29669
275,29669
648,29669
163,29669
859,29669
737,29669
582,29669
414,29669
44,29669
508,29669
127,29669
906,29669
594,29669
729,29669
921,29669
254,29669
319,29669
419,29669
888,29669
676,29669
376,29669
140,29669
294,29669
979,29669
123,29669
114,29669
300,29669
857,29669
261,29669
733,29669
587,29669
877,29669
48,26150
528,32950
814,32950
121,32950
548,32950
143,32950
959,32950
821,32950
684,32950
560,32950
466,32950
725,32950
137,32950
115,32950
682,32950
21,32950
477,32950
12,32950
864,32950
392,32950
736,32950
875,32950
850,6509
662,6509
658,6509
511,6509
75,6509
584,6509
441,6509
490,6509
348,6509
343,6509
400,6509
505,6509
472,6509
840,6509
593,6509
129,6509
583,6509
641,6509
122,6509
637,6509
309,6509
536,6509
977,6509
685,6509
10,6509
95,6509
576,6509
633,6509
592,6509
403,6509
356,6509
184,6509
854,6509
238,6509
493,6509
33,6509
398,6509
5,6509
359,6509
561,6509
164,6509
900,6509
929,6509
810,6509
726,6509
925,6509
887,6509
627,6509
430,6509
822,6509
768,6509
156,6509
640,6509
26,6509
517,6509
973,6509
969,6509
589,6509
458,6509
605,6509
836,6509
788,6509
590,6509
130,6509
642,6509
873,6509
752,6509
965,6509
193,6509
497,6509
3,6509
336,6509
690,6509
251,6509
600,6509
787,6509
874,6509
703,6509
531,6509
350,6509
370,6509
148,6509
239,6509
869,6509
962,6509
749,6509
49,33533
785,33533
712,33533
739,33533
948,33533
387,36475
773,36475
418,36475
776,36475
556,36475
268,36475
905,36475
2,36475
984,36475
947,36475
322,36475
964,36475
667,36475
357,36475
585,36475
379,36475
253,36475
363,36475
232,36475
353,36475
815,36475
879,36475
719,36475
470,36475
914,36475
707,36475
609,36475
38,36475
896,36475
196,36475
170,36475
603,36475
816,36475
382,36475
413,36475
727,36475
252,36475
601,36475
287,36475
256,36475
201,36475
99,36475
273,36475
930,36475
364,36475
259,36475
779,36475
495,36475
755,36475
654,36475
18,36475
0,36475
742,36475
499,36475
42,36475
60,36475
110,36475
279,36475
480,36475
709,36475
312,36475
72,36475
247,36475
862,36475
228,36475
566,36475
90,36475
63,36475
855,36475
333,36475
242,36475
118,36475
503,36475
198,36475
402,36475
81,36475
498,36475
777,36475
770,36475
366,36475
380,36475
442,36475
422,36475
124,36475
501,36475
781,36475
404,36475
145,36475
67,36475
56,36475
77,36475
577,36475
927,36475
625,36475
578,36475
420,36475
368,36475
27,36475
908,36475
264,36475
35,36475
598,36475
518,36475
436,36475
895,36475
317,36475
949,36475
447,36475
28,36475
606,36475
101,36475
639,36475
655,36475
572,36475
740,36475
245,36475
564,36475
230,36475
761,36475
399,36475
131,36475
636,36475
320,36475
19,36475
373,36475
610,36475
937,36475
213,36475
670,36475
526,36475
205,36475
496,36475
669,36475
147,36475
708,36475
751,36475
482,36475
978,36475
255,36475
916,36475
545,36475
94,36475
318,36475
83,36475
183,36475
525,36475
571,36475
351,36475
844,36475
554,36475
61,36475
96,36475
775,36475
989,36475
344,36475
188,36475
824,36475
1,36475
527,36475
277,36475
634,36475
544,36475
51,36475
135,36475
506,36475
461,36475
659,36475
924,36475
789,36475
570,36475
224,36475
455,36475
8,36475
705,36475
926,36475
555,36475
692,36475
892,36475
706,36475
569,36475
889,36475
826,36475
537,36475
563,36475
138,36475
651,36475
643,36475
713,36475
507,36475
452,36475
393,36475
715,36475
270,36475
843,36475
743,36475
797,36475
202,36475
345,36475
45,36475
443,36475
714,36475
644,36475
851,36475
471,36475
450,36475
428,36475
611,36475
401,36475
291,36475
652,36475
687,36475
780,36475
323,36475
612,36475
158,36475
591,36475
168,36475
313,36475
608,36475
847,36475
885,36475
653,36475
415,36475
624,36475
464,36475
341,36475
113,36475
650,36475
265,36475
4,36475
74,36475
516,36475
512,36475
586,36475
730,36475
386,36475
407,36475
448,36475
162,36475
897,36475
520,36475
661,36475
431,36475
416,36475
974,36475
459,36475
349,36475
292,36475
960,36475
530,36475
911,36475
289,36475
82,36475
939,36475
986,36475
126,36475
668,36475
408,36475
540,36475
649,36475
538,36475
722,36475
813,36475
671,36475
85,36475
893,36475
25,36475
222,36475
983,36475
698,36475
970,36475
863,36475
391,36475
280,36475
465,36475
315,36475
623,36475
728,36475
424,36475
367,36475
846,36475
894,36475
449,36475
362,36475
433,36475
365,36475
913,36475
182,36475
169,36475
542,36475
956,36475
340,36475
475,36475
218,36475
890,36475
100,36475
765,36475
868,36475
551,36475
745,36475
102,36475
210,36475
543,36475
580,36475
991,36475
672,36475
774,36475
901,36475
299,36475
615,36475
438,36475
64,36475
541,36475
699,36475
192,36475
226,36475
567,36475
260,36475
65,36475
782,36475
231,36475
474,36475
695,36475
266,36475
602,36475
176,36475
982,36475
219,36475
248,36475
957,36475
852,36475
203,36475
831,36475
741,36475
683,36475
756,36475
724,36475
107,36475
15,36475
523,36475
93,36475
390,36475
316,36475
573,36475
595,36475
701,36475
936,36475
161,36475
790,36475
762,36475
935,36475
853,36475
827,36475
686,36475
841,36475
871,36475
372,36475
513,36475
771,36475
417,36475
748,36475
951,36475
235,36475
763,36475
91,36475
666,36475
559,36475
660,36475
227,36475
904,36475
13,36475
990,36475
880,36475
103,36475
757,36475
339,36475
691,36475
828,36475
680,36475
269,36475
47,36475
180,36475
206,36475
942,36475
426,36475
236,36475
212,36475
108,36475
68,36475
297,36475
902,36475
980,36475
940,36475
111,36475
321,36475
565,36475
881,36475
818,36475
347,36475
62,36475
802,36475
165,36475
52,36475
909,36475
352,36475
491,36475
596,36475
73,36475
645,36475
334,36475
766,36475
